URL,Anchor
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=advisor_giveaway_list.pl&GiverId=&Version=1,Academic Advising
https://www.bu.edu/reg/dates/,Academic Calendar
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=acadsum.pl,Academic Summary
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=address/_start.pl,Address and Phone
http://www.bu.edu/library/,BU Libraries
http://www.bu.edu/today,BU Today
http://bu.bncollege.com,Campus Bookstore
http://www.bu.edu/MAP/,Campus Map
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=career_advisor_network.pl,Career Advisory Network
http://www.bu.edu/careers,Center for Career Development
http://www.bu.edu/computing/accounts/kerberos,Change Your Kerberos Password
http://www.bu.edu/webmail/,Check Your Email
https://www.bu.edu/alumni-forms/forms/classgift/,Class Gift Donation Form
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=allgpa.pl,Classes
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=parking_services/pk_sl_application.pl,Commuter?Parking?Permits
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=compliance/_start.pl,Compliance Status
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=bio/rtd/_start.pl,Consent-to-Disclosure
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=conv_pt_pch1.pl,Convenience Points Purchase
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=current_balance_meal_and_pt.pl,Current Balance - Meals & Points
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=allsched.pl,Current Schedule
https://www.bu.edu/dental/patients/sdp/,Dental Plan
http://www.bu.edu/housing/dining/plans/,Dining Plan Options
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=add_board_startup.pl,Add or Change your Dining Plan
https://ppo.buw.bu.edu/,Direct Deposit Authorization
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=bio/directory/_start.pl,Directory Information
http://www.bu.edu/seo/students/studentjobservice/eligibility/,Eligibility Requirements for Student Employees
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=time_entry/job_summary.pl,Employee Time Entry
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=xcred.pl,External Credits & Test Scores
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=alternate_external_id/_start.pl,External ID
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=finstat.pl,Federal Financial Aid Credit Authorization Status
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=final_exam.pl,Final Exam Schedule
https://myfitrec.bu.edu/wbwsc/webtrac.wsc/wbsplash.html?ccode=MEMBR&id=MEM,FitRec Membership
https://myfitrec.bu.edu/wbwsc/webtrac.wsc/wb0305.html?xxcim=0&xxpasstype=FTIN12&xxmod=PM,FitRec Usage Agreement
http://www.bu.edu/finaid/index.html,General Financial Aid Information
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459922578?ModuleName=reg/option/_start.pl&ViewSem=Fall%202016&KeySem=20173,Fall Planner
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=grade1.pl,Grades
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=problem.pl,How to Report a Problem
https://www.bu.edu/link/bin/uiscgi_studentlink.pl/1459890875?ModuleName=ident.pl,Identification (Your Name)
